investigation_type,event_date,location,country,injury_severity,aircraft_damage,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,primary_key,year,month
Accident,1983-01-02,"GENOA CITY, WI",United States,Fatal,Destroyed,North american,T-6G,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,CHI83FA069_N3168G,1983,01
Accident,1983-01-02,"BEAUFORT, SC",United States,Fatal,Destroyed,Piper,PA-24-250,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,ATL83FA081_N8066P,1983,01
Accident,1983-01-02,"HANCOCK, MD",United States,Fatal,Substantial,Cessna,172F,No,1.0,Reciprocating,Personal,One or More,One or More,One or More,Zero,VMC,Maneuvering,Probable Cause,ATL83FIG03_N8515U,1983,01
Accident,1983-01-03,"WILLARD, WA",United States,Fatal,Destroyed,Cessna,T303,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Climb,Probable Cause,SEA83FA038_N6087C,1983,01
Accident,1983-01-03,"AVALON, CA",United States,Fatal,Destroyed,Piper,PA-28-161,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Go-around,Probable Cause,LAX83FUA02_N2239M,1983,01
Accident,1983-01-03,"HAILEY, ID",United States,Fatal,Destroyed,Canadair,CL-600-1A11,No,2.0,Turbo Fan,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,DCA83AA010_N805C,1983,01
Accident,1983-01-04,"CAMARILLO, CA",United States,Fatal,Destroyed,Javelin aircraft,WICHAWK,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA067_N6940,1983,01
Accident,1983-01-05,"PORTLAND, OR",United States,Fatal,Destroyed,Cessna,T210N,No,1.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,IMC,Descent,Probable Cause,SEA83FA037_N5370Y,1983,01
Accident,1983-01-05,"ATLANTIC CITY, NJ",United States,Fatal,Destroyed,Piper,PA-30,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,NYC83FA049_N7619Y,1983,01
Accident,1983-01-05,"ALMY, WY",United States,Fatal,Destroyed,Piper,AEROSTAR 602P,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,DEN83FA044_N6893L,1983,01
