investigation_type,event_date,location,country,injury_severity,aircraft_damage,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,primary_key,year,month
Accident,1983-01-03,"HAILEY, ID",United States,Fatal,Destroyed,Canadair,CL-600-1A11,No,2.0,Turbo Fan,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,DCA83AA010_N805C,1983,01
Accident,1983-01-07,"NEAR YAKIMA, WA",United States,Fatal,Unknown,Boeing,727,No,3.0,Turbo Fan,Unknown,Unknown,One or More,Unknown,One or More,IMC,Climb,Probable Cause,SEA83LA039_N292WA,1983,01
Accident,1983-01-09,"CHERRY POINT, NC",United States,Fatal,Substantial,Mcdonnell douglas,F4C,Yes,2.0,Turbo Jet,Public Aircraft,One or More,Zero,Zero,One or More,VMC,Maneuvering,Probable Cause,ATL83MA084B_AFNG,1983,01
Accident,1983-01-09,"BRAINERD, MN",United States,Fatal,Substantial,Convair,580-11-A,No,2.0,Reciprocating,Unknown,One or More,One or More,Zero,One or More,IMC,Landing,Probable Cause,DCA83AA013_N8444H,1983,01
Accident,1983-01-11,"DETROIT, MI",United States,Fatal,Destroyed,Mcdonnell douglas,DC-8-54F,No,4.0,Turbo Fan,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DCA83AA014_N8053U,1983,01
Accident,1983-01-27,"SCOTTSDALE, AZ",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Personal,One or More,One or More,Zero,Zero,VMC,Descent,Probable Cause,LAX83FA083_N440MA,1983,01
Accident,1983-02-03,"SUNBURY, PA",United States,Fatal,Destroyed,Aero commander,680FL P,Yes,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,NYC83FA060_N12LF,1983,02
Accident,1983-02-13,"WINTER HAVEN, FL",United States,Fatal,Destroyed,Rockwell,690A,No,2.0,Turbo Prop,Personal,One or More,One or More,Zero,Zero,IMC,Takeoff,Probable Cause,MIA83FA074_N81416,1983,02
Accident,1983-03-05,"HUBBARDS FORK, KY",United States,Fatal,Destroyed,Douglas,B-26C,No,2.0,Reciprocating,Public Aircraft,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,ATL83FA127_N4060A,1983,03
Accident,1983-03-18,"NORTH ADAMS, MA",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,NYC83FA078_N473MA,1983,03
Accident,1983-03-24,"JEFFERSONVILLE, GA",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,DCA83AA022_N72B,1983,03
Accident,1983-03-30,"NEWARK, NJ",United States,Fatal,Destroyed,Gates learjet,25,No,2.0,Turbo Jet,Unknown,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,DCA83AA023_N51CA,1983,03
Accident,1983-04-02,"MCKINNEY, TX",United States,Fatal,Unknown,De havilland,DHC-6,No,2.0,Turbo Prop,Skydiving,One or More,Unknown,Unknown,One or More,VMC,Standing,Probable Cause,FTW83LA177_N927BA,1983,04
Accident,1983-04-07,"SELAWIK, AK",United States,Fatal,Substantial,Britten-norman,BN-2A-8,No,2.0,Reciprocating,Business,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,ANC83FA068_N37MN,1983,04
Accident,1983-05-12,"TITUSVILLE, FL",United States,Fatal,Destroyed,Aero commander,680,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,ATL83AA184_N6880S,1983,05
Accident,1983-06-02,"MONTICELLO, UT",United States,Fatal,Destroyed,Aero commander,680FL,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,DEN83FA131_N271VT,1983,06
Accident,1983-06-02,"COVINGTON, KY",United States,Fatal,Substantial,Douglas,DC-9-32,No,2.0,Turbo Fan,Unknown,One or More,One or More,One or More,One or More,VMC,Cruise,Probable Cause,DCA83AA028_CFTLU,1983,06
Accident,1983-06-04,"ELDORADO SPRGS., CO",United States,Fatal,Substantial,Link-johnson-chessman,HP-16,Yes,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN83FTE09_N9025N,1983,06
Accident,1983-06-10,"GOLETA, CA",United States,Fatal,Substantial,Bell,212,No,2.0,Turbo Shaft,Unknown,One or More,Zero,One or More,Zero,VMC,Descent,Probable Cause,LAX83FA277_N59636,1983,06
Accident,1983-06-23,"MILLHAVEN, GA",United States,Fatal,Destroyed,Lockheed,L-18,No,2.0,Reciprocating,Other Work Use,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,ATL83FA237_N333FB,1983,06
